country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Guinea-Bissau,GNB,1953,584.381,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1954,588.133,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1955,591.909,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1956,596.365,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1957,601.095,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1958,606.044,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1959,611.217,0.442307711,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1960,616.682,0.442307711,CFA Franc BCEAO,0.3044950846,126.98615769,85.224694698,8.3316743621,18.738556708,68.842364044,57.973586133,114.14543736,98.131590168,32.626298151,,4.3990673387,4.2595043139,4.3269400027,418.64344624,478.99038357,426.08726673,516.80002585,1022.9349028,1149.9427927,,,,642.96582773,120.33566551,129.18134607,15.442443812,29.614602397,,
Guinea-Bissau,GNB,1961,622.07,0.442307711,CFA Franc BCEAO,0.3030099376,124.71700022,77.131856654,9.1491761223,17.460636541,68.50659169,57.084430458,108.84307392,97.827797794,38.287763035,,4.2514418227,4.1494880884,4.1848607437,441.41228757,490.55526413,446.29122551,542.04282284,1074.7315425,1181.3255237,,,,629.82445759,121.94530096,107.4243788,15.197500563,25.817389823,4.7417419762,2.4144285485
Guinea-Bissau,GNB,1962,627.82,0.442307711,CFA Franc BCEAO,0.3111230368,125.08321883,80.458107413,9.376744716,17.613383391,70.340857518,58.477951927,110.11953264,103.35396111,37.148921638,,4.0285450553,3.9220482219,3.9587859817,417.1363939,468.66866901,422.46733397,513.80753552,1020.4954809,1132.0976093,,,,623.56812025,127.85268584,117.33325898,16.076926873,28.131985374,-5.338194025,-4.46159622
Guinea-Bissau,GNB,1963,633.939,0.442307711,CFA Franc BCEAO,0.2950340119,147.375843,89.646807227,8.5911517482,13.896556186,66.703339004,57.432904954,107.96150019,101.00030324,35.32391305,,4.5634705372,4.3266433824,4.4501818339,464.98383936,537.08899288,476.09319475,579.81867964,1153.5870043,1301.3815134,,,,721.61107606,128.16324394,137.30704905,15.420992393,23.175855221,12.693492839,14.598868753
Guinea-Bissau,GNB,1964,610.284,0.442307711,CFA Franc BCEAO,0.2920015792,158.83064463,91.576101589,9.1712441721,14.008367475,66.017745559,56.939003878,106.08878578,99.133272915,35.920565025,,4.6353722723,4.3980130107,4.5145236295,469.68582678,546.95493064,481.52985556,587.24205825,1170.3780808,1329.3964115,,,,766.68516314,140.23386048,147.97897224,17.28820977,24.480215888,1.1419320557,1.8369279365
Guinea-Bissau,GNB,1965,603.78,0.442307711,CFA Franc BCEAO,0.2922280027,163.29150399,94.01461723,11.169360023,11.940067225,66.068936953,57.160522599,104.28889471,100.45975651,31.271383927,,4.4441647174,4.1877263952,4.2939237883,480.77471501,555.76228118,492.41466142,601.33907497,1200.5567416,1355.0046448,,,,776.46731893,125.08755346,150.58495265,20.408665344,20.836526847,2.2604633401,1.6102516031
